athlete,gender,region,wod,score,rank,overall_score,overall_rank
Drew Armstrong,m,canadawest,14_5,NA,79,214,20
Jason MacDonald,m,canadawest,14_5,NA,90,403,52
Steve Howell,m,canadawest,14_5,NA,99,171,17
Michael FitzGerald,m,canadawest,14_5,NA,100,264,24
David Mullback,m,canadawest,14_5,NA,106,434,58
Jason Biggeman,m,canadawest,14_5,NA,108,402,51
Jeremy Meredith,m,canadawest,14_5,NA,118,382,46
Brad Chase,m,canadawest,14_5,NA,134,364,42
Pete Kendrick,m,canadawest,14_5,NA,137,288,26
David Bradford,m,canadawest,14_5,NA,153,296,27
Chris Vienneau,m,canadawest,14_5,NA,156,354,40
Frederic Bernier,m,canadawest,14_5,NA,161,450,60
DJ Wickham,m,canadawest,14_5,NA,164,337,35
Thad Palin,m,canadawest,14_5,NA,171,397,49
Jason Burke,m,canadawest,14_5,NA,209,372,43
Craig Charton,m,centraleast,14_1,347,243,415,46
Ken Battiston,m,centraleast,14_1,349,209,343,31
Matt Scheffer,m,centraleast,14_1,349,209,589,60
Joseph Tortora,m,centraleast,14_1,351,177,412,45
Brett Sepi,m,centraleast,14_1,354,142,410,43
Tate Rivera,m,centraleast,14_1,355,130,390,41
Adam Rogers,m,centraleast,14_1,355,130,523,56
Peter Brasovan,m,centraleast,14_1,355,130,546,58
David Diamond,m,centraleast,14_1,357,108,263,22
Marcus Hendren,m,centraleast,14_1,358,101,198,17
Austin Moncivaez,m,centraleast,14_1,358,101,560,59
Brandon Shriner,m,centraleast,14_1,359,97,314,26
Dave Rabbett,m,centraleast,14_1,360,78,191,15
Harrison Heller,m,centraleast,14_1,360,78,360,34
Jonathan Wolf,m,centraleast,14_1,360,78,433,48
Joe Garnes,m,centraleast,14_1,360,78,543,57
Derek French,m,centraleast,14_1,363,69,208,19
Andy Angelo,m,centraleast,14_1,363,69,439,51
Gary Hinton,m,centraleast,14_1,364,67,388,40
Alex Bookout,m,centraleast,14_1,365,63,243,21
John Lytle,m,centraleast,14_1,367,61,379,39
Matt Hewett,m,centraleast,14_1,369,57,191,15
Travis Page,m,centraleast,14_1,369,57,434,50
Gerald Sasser,m,centraleast,14_1,370,52,198,17
Jared Byczko,m,centraleast,14_1,370,52,340,30
Chris Walker,m,centraleast,14_1,370,52,365,35
Brian Rottinghaus,m,centraleast,14_1,370,52,392,42
Andrew Charlesworth,m,centraleast,14_1,371,51,410,43
Jared Cantrell,m,centraleast,14_1,372,48,324,27
Evan Beach,m,centraleast,14_1,372,48,460,52
Nick Fory,m,centraleast,14_1,377,44,139,10
Jon Esposito,m,centraleast,14_1,381,39,299,25
Jesse Mascoe,m,centraleast,14_1,381,39,376,38
Shawn Stauffer,m,centraleast,14_1,381,39,516,55
Brian Giovinazzi,m,centraleast,14_1,382,38,353,33
Vincent Buttitta,m,centraleast,14_1,386,36,370,36
Kevin Jones,m,centraleast,14_1,387,35,332,29
Eric Oxley,m,centraleast,14_1,389,32,347,32
Patrick O'Connell,m,centraleast,14_1,390,26,270,23
Dane Youtz,m,centraleast,14_1,390,26,325,28
John Fortune,m,centraleast,14_1,390,26,371,37
Thomas Cox,m,centraleast,14_1,390,26,502,54
Joseph Weigel,m,centraleast,14_1,391,24,80,5
Cody Keathley,m,centraleast,14_1,391,24,219,20
Chris Sansbury,m,centraleast,14_1,392,19,106,7
Joshua Belville,m,centraleast,14_1,392,19,426,47
Will Moorad,m,centraleast,14_1,393,18,91,6
Torey Throop,m,centraleast,14_1,394,16,166,12
Tristan Moore,m,centraleast,14_1,395,15,119,9
Chris Shimley,m,centraleast,14_1,397,11,165,11
Landon Walker,m,centraleast,14_1,397,11,173,14
Caleb Gregory,m,centraleast,14_1,397,11,485,53
Kirk Bacsu,m,centraleast,14_1,399,9,433,48
Nick Urankar,m,centraleast,14_1,401,8,169,13
Josh Woodhull,m,centraleast,14_1,405,6,287,24
Alex Anderson,m,centraleast,14_1,407,5,57,3
Graham Holmberg,m,centraleast,14_1,422,4,57,3
Scott Panchik,m,centraleast,14_1,435,3,19,2
Sam Dancer,m,centraleast,14_1,439,2,106,7
Rich Froning,m,centraleast,14_1,444,1,5,1
Peter Brasovan,m,centraleast,14_2,199,171,546,58
Jesse Mascoe,m,centraleast,14_2,200,161,376,38
Shawn Stauffer,m,centraleast,14_2,200,161,516,55
Andy Angelo,m,centraleast,14_2,201,155,439,51
John Fortune,m,centraleast,14_2,203,135,371,37
Caleb Gregory,m,centraleast,14_2,203,135,485,53
Adam Rogers,m,centraleast,14_2,203,135,523,56
Jonathan Wolf,m,centraleast,14_2,205,117,433,48
Harrison Heller,m,centraleast,14_2,206,111,360,34
Brett Sepi,m,centraleast,14_2,206,111,410,43
Kevin Jones,m,centraleast,14_2,207,108,332,29
Joshua Belville,m,centraleast,14_2,207,108,426,47
Kirk Bacsu,m,centraleast,14_2,207,108,433,48
Andrew Charlesworth,m,centraleast,14_2,232,105,410,43
Evan Beach,m,centraleast,14_2,236,100,460,52
Josh Woodhull,m,centraleast,14_2,238,95,287,24
John Lytle,m,centraleast,14_2,238,95,379,39
Thomas Cox,m,centraleast,14_2,240,86,502,54
Dane Youtz,m,centraleast,14_2,241,80,325,28
Jared Byczko,m,centraleast,14_2,242,77,340,30
Matt Scheffer,m,centraleast,14_2,244,71,589,60
Chris Walker,m,centraleast,14_2,245,69,365,35
Brian Giovinazzi,m,centraleast,14_2,246,64,353,33
Gary Hinton,m,centraleast,14_2,246,64,388,40
Joe Garnes,m,centraleast,14_2,246,64,543,57
Landon Walker,m,centraleast,14_2,249,58,173,14
Alex Bookout,m,centraleast,14_2,249,58,243,21
Tristan Moore,m,centraleast,14_2,252,56,119,9
Brian Rottinghaus,m,centraleast,14_2,254,52,392,42
Jared Cantrell,m,centraleast,14_2,257,45,324,27
Torey Throop,m,centraleast,14_2,258,41,166,12
Dave Rabbett,m,centraleast,14_2,258,41,191,15
Cody Keathley,m,centraleast,14_2,258,41,219,20
Marcus Hendren,m,centraleast,14_2,259,37,198,17
Eric Oxley,m,centraleast,14_2,259,37,347,32
Joseph Tortora,m,centraleast,14_2,259,37,412,45
Chris Sansbury,m,centraleast,14_2,262,32,106,7
Vincent Buttitta,m,centraleast,14_2,262,32,370,36
Ken Battiston,m,centraleast,14_2,265,29,343,31
Sam Dancer,m,centraleast,14_2,266,27,106,7
Brandon Shriner,m,centraleast,14_2,266,27,314,26
Matt Hewett,m,centraleast,14_2,268,23,191,15
Patrick O'Connell,m,centraleast,14_2,268,23,270,23
Travis Page,m,centraleast,14_2,268,23,434,50
Tate Rivera,m,centraleast,14_2,269,18,390,41
Craig Charton,m,centraleast,14_2,269,18,415,46
Austin Moncivaez,m,centraleast,14_2,272,16,560,59
Derek French,m,centraleast,14_2,273,15,208,19
Jon Esposito,m,centraleast,14_2,274,13,299,25
Alex Anderson,m,centraleast,14_2,275,12,57,3
Nick Urankar,m,centraleast,14_2,276,11,169,13
Chris Shimley,m,centraleast,14_2,277,10,165,11
David Diamond,m,centraleast,14_2,291,9,263,22
Nick Fory,m,centraleast,14_2,318,8,139,10
Graham Holmberg,m,centraleast,14_2,320,6,57,3
Will Moorad,m,centraleast,14_2,320,6,91,6
Gerald Sasser,m,centraleast,14_2,334,4,198,17
Joseph Weigel,m,centraleast,14_2,335,3,80,5
Scott Panchik,m,centraleast,14_2,347,2,19,2
Rich Froning,m,centraleast,14_2,359,1,5,1
Austin Moncivaez,m,centraleast,14_3,142,310,560,59
Travis Page,m,centraleast,14_3,143,257,434,50
Caleb Gregory,m,centraleast,14_3,144,218,485,53
Joe Garnes,m,centraleast,14_3,144,236,543,57
Patrick O'Connell,m,centraleast,14_3,145,182,270,23
Vincent Buttitta,m,centraleast,14_3,145,176,370,36
Andy Angelo,m,centraleast,14_3,145,170,439,51
Matt Scheffer,m,centraleast,14_3,145,178,589,60
Dane Youtz,m,centraleast,14_3,146,147,325,28
Kirk Bacsu,m,centraleast,14_3,146,156,433,48
Nick Urankar,m,centraleast,14_3,147,124,169,13
Eric Oxley,m,centraleast,14_3,147,132,347,32
Evan Beach,m,centraleast,14_3,147,135,460,52
Cody Keathley,m,centraleast,14_3,148,109,219,20
Chris Walker,m,centraleast,14_3,148,112,365,35
Brian Rottinghaus,m,centraleast,14_3,148,116,392,42
Chris Shimley,m,centraleast,14_3,149,89,165,11
Matt Hewett,m,centraleast,14_3,149,87,191,15
Gerald Sasser,m,centraleast,14_3,149,95,198,17
David Diamond,m,centraleast,14_3,149,100,263,22
Jared Byczko,m,centraleast,14_3,149,99,340,30
Harrison Heller,m,centraleast,14_3,149,85,360,34
John Fortune,m,centraleast,14_3,149,97,371,37
John Lytle,m,centraleast,14_3,149,90,379,39
Brett Sepi,m,centraleast,14_3,149,93,410,43
Peter Brasovan,m,centraleast,14_3,149,96,546,58
Nick Fory,m,centraleast,14_3,150,76,139,10
Landon Walker,m,centraleast,14_3,150,71,173,14
Alex Bookout,m,centraleast,14_3,150,72,243,21
Brandon Shriner,m,centraleast,14_3,150,68,314,26
Jonathan Wolf,m,centraleast,14_3,150,73,433,48
Thomas Cox,m,centraleast,14_3,150,83,502,54
Adam Rogers,m,centraleast,14_3,150,70,523,56
Will Moorad,m,centraleast,14_3,151,53,91,6
Torey Throop,m,centraleast,14_3,151,62,166,12
Derek French,m,centraleast,14_3,151,55,208,19
Brian Giovinazzi,m,centraleast,14_3,151,65,353,33
Joseph Tortora,m,centraleast,14_3,151,52,412,45
Joshua Belville,m,centraleast,14_3,151,58,426,47
Jon Esposito,m,centraleast,14_3,152,49,299,25
Jared Cantrell,m,centraleast,14_3,152,50,324,27
Shawn Stauffer,m,centraleast,14_3,152,47,516,55
Dave Rabbett,m,centraleast,14_3,154,32,191,15
Andrew Charlesworth,m,centraleast,14_3,154,29,410,43
Alex Anderson,m,centraleast,14_3,155,23,57,3
Kevin Jones,m,centraleast,14_3,155,25,332,29
Jesse Mascoe,m,centraleast,14_3,155,24,376,38
Tate Rivera,m,centraleast,14_3,159,14,390,41
Joseph Weigel,m,centraleast,14_3,160,12,80,5
Ken Battiston,m,centraleast,14_3,160,13,343,31
Craig Charton,m,centraleast,14_3,161,11,415,46
Scott Panchik,m,centraleast,14_3,162,8,19,2
Tristan Moore,m,centraleast,14_3,162,9,119,9
Marcus Hendren,m,centraleast,14_3,162,7,198,17
Gary Hinton,m,centraleast,14_3,163,6,388,40
Graham Holmberg,m,centraleast,14_3,166,5,57,3
Josh Woodhull,m,centraleast,14_3,169,4,287,24
Sam Dancer,m,centraleast,14_3,171,3,106,7
Chris Sansbury,m,centraleast,14_3,175,2,106,7
Rich Froning,m,centraleast,14_3,177,1,5,1
Tate Rivera,m,centraleast,14_4,196,188,390,41
Gary Hinton,m,centraleast,14_4,197,129,388,40
Andrew Charlesworth,m,centraleast,14_4,197,135,410,43
Vincent Buttitta,m,centraleast,14_4,198,119,370,36
Jared Cantrell,m,centraleast,14_4,199,112,324,27
Kevin Jones,m,centraleast,14_4,199,99,332,29
Brian Giovinazzi,m,centraleast,14_4,199,97,353,33
Kirk Bacsu,m,centraleast,14_4,199,107,433,48
Jonathan Wolf,m,centraleast,14_4,199,104,433,48
Thomas Cox,m,centraleast,14_4,199,112,502,54
Adam Rogers,m,centraleast,14_4,199,102,523,56
Brandon Shriner,m,centraleast,14_4,200,80,314,26
Brian Rottinghaus,m,centraleast,14_4,200,89,392,42
Shawn Stauffer,m,centraleast,14_4,200,85,516,55
Joseph Tortora,m,centraleast,14_4,201,79,412,45
Jesse Mascoe,m,centraleast,14_4,203,73,376,38
John Fortune,m,centraleast,14_4,204,65,371,37
Joe Garnes,m,centraleast,14_4,204,69,543,57
Harrison Heller,m,centraleast,14_4,205,63,360,34
Caleb Gregory,m,centraleast,14_4,205,64,485,53
Austin Moncivaez,m,centraleast,14_4,205,61,560,59
Peter Brasovan,m,centraleast,14_4,207,59,546,58
Josh Woodhull,m,centraleast,14_4,209,54,287,24
John Lytle,m,centraleast,14_4,209,53,379,39
Derek French,m,centraleast,14_4,210,50,208,19
Matt Scheffer,m,centraleast,14_4,210,51,589,60
Chris Shimley,m,centraleast,14_4,211,49,165,11
Travis Page,m,centraleast,14_4,211,47,434,50
Jon Esposito,m,centraleast,14_4,213,44,299,25
Chris Sansbury,m,centraleast,14_4,214,41,106,7
Joshua Belville,m,centraleast,14_4,214,40,426,47
Brett Sepi,m,centraleast,14_4,215,36,410,43
Andy Angelo,m,centraleast,14_4,215,35,439,51
Sam Dancer,m,centraleast,14_4,217,33,106,7
Ken Battiston,m,centraleast,14_4,218,31,343,31
Craig Charton,m,centraleast,14_4,219,30,415,46
Landon Walker,m,centraleast,14_4,220,28,173,14
Cody Keathley,m,centraleast,14_4,220,29,219,20
Jared Byczko,m,centraleast,14_4,221,26,340,30
Eric Oxley,m,centraleast,14_4,221,26,347,32
Evan Beach,m,centraleast,14_4,223,21,460,52
Dave Rabbett,m,centraleast,14_4,224,19,191,15
Dane Youtz,m,centraleast,14_4,224,20,325,28
Marcus Hendren,m,centraleast,14_4,227,17,198,17
Alex Bookout,m,centraleast,14_4,228,16,243,21
Tristan Moore,m,centraleast,14_4,229,15,119,9
Alex Anderson,m,centraleast,14_4,231,13,57,3
David Diamond,m,centraleast,14_4,231,14,263,22
Nick Urankar,m,centraleast,14_4,235,12,169,13
Graham Holmberg,m,centraleast,14_4,236,11,57,3
Patrick O'Connell,m,centraleast,14_4,237,10,270,23
Torey Throop,m,centraleast,14_4,238,9,166,12
Chris Walker,m,centraleast,14_4,239,8,365,35
Matt Hewett,m,centraleast,14_4,240,7,191,15
Joseph Weigel,m,centraleast,14_4,241,6,80,5
Will Moorad,m,centraleast,14_4,242,5,91,6
Nick Fory,m,centraleast,14_4,243,4,139,10
Scott Panchik,m,centraleast,14_4,250,3,19,2
Gerald Sasser,m,centraleast,14_4,260,2,198,17
Rich Froning,m,centraleast,14_4,277,1,5,1
Rich Froning,m,centraleast,14_5,NA,1,5,1
Scott Panchik,m,centraleast,14_5,NA,3,19,2
Alex Anderson,m,centraleast,14_5,NA,4,57,3
Landon Walker,m,centraleast,14_5,NA,5,173,14
Chris Shimley,m,centraleast,14_5,NA,6,165,11
Nick Fory,m,centraleast,14_5,NA,7,139,10
Vincent Buttitta,m,centraleast,14_5,NA,7,370,36
Will Moorad,m,centraleast,14_5,NA,9,91,6
Andy Angelo,m,centraleast,14_5,NA,10,439,51
Chris Sansbury,m,centraleast,14_5,NA,12,106,7
Nick Urankar,m,centraleast,14_5,NA,14,169,13
Cody Keathley,m,centraleast,14_5,NA,16,219,20
Matt Hewett,m,centraleast,14_5,NA,17,191,15
Derek French,m,centraleast,14_5,NA,19,208,19
Dave Rabbett,m,centraleast,14_5,NA,21,191,15
Harrison Heller,m,centraleast,14_5,NA,23,360,34
Tristan Moore,m,centraleast,14_5,NA,24,119,9
Brett Sepi,m,centraleast,14_5,NA,28,410,43
Patrick O'Connell,m,centraleast,14_5,NA,29,270,23
Graham Holmberg,m,centraleast,14_5,NA,31,57,3
David Diamond,m,centraleast,14_5,NA,32,263,22
Alex Bookout,m,centraleast,14_5,NA,34,243,21
Joseph Weigel,m,centraleast,14_5,NA,35,80,5
Marcus Hendren,m,centraleast,14_5,NA,36,198,17
Torey Throop,m,centraleast,14_5,NA,38,166,12
Tate Rivera,m,centraleast,14_5,NA,40,390,41
Sam Dancer,m,centraleast,14_5,NA,41,106,7
Brandon Shriner,m,centraleast,14_5,NA,42,314,26
Gerald Sasser,m,centraleast,14_5,NA,45,198,17
John Fortune,m,centraleast,14_5,NA,48,371,37
Travis Page,m,centraleast,14_5,NA,50,434,50
Dane Youtz,m,centraleast,14_5,NA,52,325,28
Kirk Bacsu,m,centraleast,14_5,NA,53,433,48
Caleb Gregory,m,centraleast,14_5,NA,57,485,53
Ken Battiston,m,centraleast,14_5,NA,61,343,31
Jonathan Wolf,m,centraleast,14_5,NA,61,433,48
Kevin Jones,m,centraleast,14_5,NA,65,332,29
Joseph Tortora,m,centraleast,14_5,NA,67,412,45
Jared Cantrell,m,centraleast,14_5,NA,69,324,27
Austin Moncivaez,m,centraleast,14_5,NA,72,560,59
Jesse Mascoe,m,centraleast,14_5,NA,79,376,38
John Lytle,m,centraleast,14_5,NA,80,379,39
Matt Scheffer,m,centraleast,14_5,NA,80,589,60
Brian Rottinghaus,m,centraleast,14_5,NA,83,392,42
Jared Byczko,m,centraleast,14_5,NA,86,340,30
Adam Rogers,m,centraleast,14_5,NA,86,523,56
Brian Giovinazzi,m,centraleast,14_5,NA,89,353,33
Andrew Charlesworth,m,centraleast,14_5,NA,90,410,43
Peter Brasovan,m,centraleast,14_5,NA,90,546,58
Joe Garnes,m,centraleast,14_5,NA,96,543,57
Craig Charton,m,centraleast,14_5,NA,113,415,46
Eric Oxley,m,centraleast,14_5,NA,120,347,32
Gary Hinton,m,centraleast,14_5,NA,122,388,40
Chris Walker,m,centraleast,14_5,NA,124,365,35
Josh Woodhull,m,centraleast,14_5,NA,128,287,24
Jon Esposito,m,centraleast,14_5,NA,154,299,25
Evan Beach,m,centraleast,14_5,NA,156,460,52
Shawn Stauffer,m,centraleast,14_5,NA,184,516,55
Thomas Cox,m,centraleast,14_5,NA,195,502,54
Joshua Belville,m,centraleast,14_5,NA,201,426,47
Rob Martin,m,europe,14_1,348,303,461,46
Samuel Gallego,m,europe,14_1,350,252,476,48
Karl Thorpe,m,europe,14_1,352,215,582,60
John Reid,m,europe,14_1,353,203,433,39
Marc Ordeig,m,europe,14_1,354,184,416,36
Eiríkur Baldursson,m,europe,14_1,358,136,436,40
Steven Fawcett,m,europe,14_1,358,136,448,42
Lacee Kovacs,m,europe,14_1,360,111,162,12
Philip Bengtsson,m,europe,14_1,360,111,283,21
Mitchell Adams,m,europe,14_1,360,111,351,23
Elliot Simmonds,m,europe,14_1,360,111,430,37
Anders Gronsund,m,europe,14_1,360,111,508,53
Scott Jenkins,m,europe,14_1,360,111,508,53
Anže Benko,m,europe,14_1,360,111,559,58
Benjamin Massey,m,europe,14_1,361,107,450,43
Mads Rasmussen,m,europe,14_1,362,105,474,47
Barry McDermott,m,europe,14_1,362,105,554,57
David Shorunke,m,europe,14_1,363,103,414,35
Casper Gammelmark,m,europe,14_1,364,98,430,37
Christophe Besnard,m,europe,14_1,364,98,486,50
Dan Forster,m,europe,14_1,364,98,578,59
Numi Katrinarson,m,europe,14_1,370,87,138,11
Richard Vanmeerbeek,m,europe,14_1,377,73,480,49
Alec Harwood,m,europe,14_1,380,67,360,28
Filip Yang Fisker,m,europe,14_1,380,67,453,45
Liam Hogan,m,europe,14_1,384,64,351,23
Lee Howe,m,europe,14_1,387,59,377,30
Malte Rommedahl,m,europe,14_1,389,57,533,56
Björgvin Karl Guðmundsson,m,europe,14_1,390,44,92,2
Robert Manlove,m,europe,14_1,390,44,211,17
Bartlomiej Lipka,m,europe,14_1,390,44,401,33
Tom Burnell,m,europe,14_1,390,44,452,44
Joakim Ro-Poulsen,m,europe,14_1,390,44,491,52
Arnar Sigurðsson,m,europe,14_1,391,39,405,34
florent paillasson,m,europe,14_1,391,39,490,51
Lukas Högberg,m,europe,14_1,392,32,99,3
Laurent CAMPS,m,europe,14_1,392,32,352,25
Mareck Bigler,m,europe,14_1,392,32,447,41
Adam Shackell,m,europe,14_1,392,32,508,53
David Carlsson,m,europe,14_1,395,25,357,27
Will Kane,m,europe,14_1,395,25,363,29
Viktor Långsved,m,europe,14_1,395,25,399,32
Jordan Wallace,m,europe,14_1,396,20,112,6
Lukas Esslinger,m,europe,14_1,396,20,176,14
Christer Idland,m,europe,14_1,396,20,193,15
Sam Henderson,m,europe,14_1,396,20,354,26
Antony Monks,m,europe,14_1,397,17,135,10
Andy Edwards,m,europe,14_1,397,17,167,13
Matt Rodwell,m,europe,14_1,398,16,193,15
Alexandre Jolivet,m,europe,14_1,399,13,279,20
Davide Marini,m,europe,14_1,399,13,387,31
Stefano Migliorini,m,europe,14_1,401,12,131,9
Frosti Gylfason,m,europe,14_1,402,11,128,8
Gregor Schregle,m,europe,14_1,403,8,212,18
Jonas Mueller,m,europe,14_1,403,8,267,19
Frederik Aegidius,m,europe,14_1,405,4,118,7
Riccardo Donati,m,europe,14_1,405,4,315,22
Jakob Magnusson,m,europe,14_1,406,3,81,1
Jonne Koski,m,europe,14_1,414,2,102,4
Sigurður Þrastarson,m,europe,14_1,417,1,105,5
Davide Marini,m,europe,14_2,196,246,387,31
Liam Hogan,m,europe,14_2,200,192,351,23
florent paillasson,m,europe,14_2,200,192,490,51
Joakim Ro-Poulsen,m,europe,14_2,203,153,491,52
Tom Burnell,m,europe,14_2,205,130,452,44
Elliot Simmonds,m,europe,14_2,206,127,430,37
David Carlsson,m,europe,14_2,207,115,357,27
Barry McDermott,m,europe,14_2,207,115,554,57
Alexandre Jolivet,m,europe,14_2,234,109,279,20
Filip Yang Fisker,m,europe,14_2,238,103,453,45
Richard Vanmeerbeek,m,europe,14_2,241,98,480,49
Dan Forster,m,europe,14_2,242,94,578,59
John Reid,m,europe,14_2,244,89,433,39
Adam Shackell,m,europe,14_2,244,89,508,53
Lee Howe,m,europe,14_2,249,78,377,30
Scott Jenkins,m,europe,14_2,249,78,508,53
Casper Gammelmark,m,europe,14_2,251,73,430,37
Antony Monks,m,europe,14_2,255,65,135,10
David Shorunke,m,europe,14_2,256,62,414,35
Christophe Besnard,m,europe,14_2,256,62,486,50
Viktor Långsved,m,europe,14_2,257,57,399,32
Benjamin Massey,m,europe,14_2,257,57,450,43
Malte Rommedahl,m,europe,14_2,257,57,533,56
Andy Edwards,m,europe,14_2,262,37,167,13
Gregor Schregle,m,europe,14_2,262,37,212,18
Mitchell Adams,m,europe,14_2,262,37,351,23
Laurent CAMPS,m,europe,14_2,262,37,352,25
Sam Henderson,m,europe,14_2,262,37,354,26
Bartlomiej Lipka,m,europe,14_2,262,37,401,33
Anže Benko,m,europe,14_2,262,37,559,58
Stefano Migliorini,m,europe,14_2,263,34,131,9
Eiríkur Baldursson,m,europe,14_2,263,34,436,40
Lukas Esslinger,m,europe,14_2,264,32,176,14
Christer Idland,m,europe,14_2,264,32,193,15
Karl Thorpe,m,europe,14_2,265,31,582,60
Steven Fawcett,m,europe,14_2,267,28,448,42
Sigurður Þrastarson,m,europe,14_2,268,25,105,5
Alec Harwood,m,europe,14_2,268,25,360,28
Frederik Aegidius,m,europe,14_2,269,23,118,7
Rob Martin,m,europe,14_2,269,23,461,46
Lukas Högberg,m,europe,14_2,270,20,99,3
Mads Rasmussen,m,europe,14_2,270,20,474,47
Frosti Gylfason,m,europe,14_2,272,19,128,8
Philip Bengtsson,m,europe,14_2,273,18,283,21
Matt Rodwell,m,europe,14_2,274,13,193,15
Robert Manlove,m,europe,14_2,274,13,211,17
Mareck Bigler,m,europe,14_2,274,13,447,41
Samuel Gallego,m,europe,14_2,274,13,476,48
Riccardo Donati,m,europe,14_2,276,12,315,22
Anders Gronsund,m,europe,14_2,277,11,508,53
Jakob Magnusson,m,europe,14_2,278,9,81,1
Arnar Sigurðsson,m,europe,14_2,278,9,405,34
Jordan Wallace,m,europe,14_2,323,8,112,6
Jonne Koski,m,europe,14_2,324,7,102,4
Jonas Mueller,m,europe,14_2,329,6,267,19
Will Kane,m,europe,14_2,334,4,363,29
Marc Ordeig,m,europe,14_2,334,4,416,36
Björgvin Karl Guðmundsson,m,europe,14_2,338,2,92,2
Lacee Kovacs,m,europe,14_2,338,2,162,12
Numi Katrinarson,m,europe,14_2,350,1,138,11
Will Kane,m,europe,14_3,142,317,363,29
Mareck Bigler,m,europe,14_3,142,327,447,41
Anders Gronsund,m,europe,14_3,142,307,508,53
Riccardo Donati,m,europe,14_3,143,273,315,22
Steven Fawcett,m,europe,14_3,143,260,448,42
Mads Rasmussen,m,europe,14_3,143,278,474,47
Anže Benko,m,europe,14_3,143,292,559,58
Jonas Mueller,m,europe,14_3,144,237,267,19
Viktor Långsved,m,europe,14_3,144,238,399,32
Arnar Sigurðsson,m,europe,14_3,144,219,405,34
Marc Ordeig,m,europe,14_3,144,216,416,36
Malte Rommedahl,m,europe,14_3,144,231,533,56
Laurent CAMPS,m,europe,14_3,145,193,352,25
David Shorunke,m,europe,14_3,145,205,414,35
Barry McDermott,m,europe,14_3,145,193,554,57
Dan Forster,m,europe,14_3,145,178,578,59
Mitchell Adams,m,europe,14_3,146,150,351,23
Bartlomiej Lipka,m,europe,14_3,146,144,401,33
Eiríkur Baldursson,m,europe,14_3,146,155,436,40
Alec Harwood,m,europe,14_3,147,116,360,28
Casper Gammelmark,m,europe,14_3,147,134,430,37
Benjamin Massey,m,europe,14_3,147,115,450,43
Davide Marini,m,europe,14_3,148,92,387,31
Elliot Simmonds,m,europe,14_3,148,93,430,37
Filip Yang Fisker,m,europe,14_3,148,97,453,45
Karl Thorpe,m,europe,14_3,148,94,582,60
Frederik Aegidius,m,europe,14_3,149,76,118,7
Lukas Esslinger,m,europe,14_3,149,74,176,14
Christer Idland,m,europe,14_3,149,75,193,15
Robert Manlove,m,europe,14_3,149,86,211,17
Tom Burnell,m,europe,14_3,149,73,452,44
Samuel Gallego,m,europe,14_3,149,71,476,48
Jonne Koski,m,europe,14_3,151,53,102,4
Jordan Wallace,m,europe,14_3,151,59,112,6
Lee Howe,m,europe,14_3,151,54,377,30
Christophe Besnard,m,europe,14_3,151,61,486,50
Adam Shackell,m,europe,14_3,151,56,508,53
Lacee Kovacs,m,europe,14_3,152,40,162,12
Andy Edwards,m,europe,14_3,152,41,167,13
Joakim Ro-Poulsen,m,europe,14_3,152,41,491,52
Numi Katrinarson,m,europe,14_3,153,33,138,11
Richard Vanmeerbeek,m,europe,14_3,153,31,480,49
Scott Jenkins,m,europe,14_3,153,34,508,53
Björgvin Karl Guðmundsson,m,europe,14_3,154,24,92,2
Lukas Högberg,m,europe,14_3,154,28,99,3
Sigurður Þrastarson,m,europe,14_3,154,27,105,5
Stefano Migliorini,m,europe,14_3,154,23,131,9
Rob Martin,m,europe,14_3,154,29,461,46
Jakob Magnusson,m,europe,14_3,155,22,81,1
Matt Rodwell,m,europe,14_3,156,19,193,15
Gregor Schregle,m,europe,14_3,156,21,212,18
florent paillasson,m,europe,14_3,157,17,490,51
Liam Hogan,m,europe,14_3,158,16,351,23
John Reid,m,europe,14_3,159,13,433,39
Frosti Gylfason,m,europe,14_3,160,9,128,8
Antony Monks,m,europe,14_3,160,10,135,10
Philip Bengtsson,m,europe,14_3,160,11,283,21
David Carlsson,m,europe,14_3,160,12,357,27
Sam Henderson,m,europe,14_3,173,3,354,26
Alexandre Jolivet,m,europe,14_3,175,2,279,20
Sam Henderson,m,europe,14_4,197,223,354,26
Christophe Besnard,m,europe,14_4,197,247,486,50
florent paillasson,m,europe,14_4,197,228,490,51
Tom Burnell,m,europe,14_4,199,161,452,44
Karl Thorpe,m,europe,14_4,199,188,582,60
Benjamin Massey,m,europe,14_4,200,139,450,43
Filip Yang Fisker,m,europe,14_4,200,136,453,45
Malte Rommedahl,m,europe,14_4,200,142,533,56
Scott Jenkins,m,europe,14_4,201,129,508,53
Casper Gammelmark,m,europe,14_4,202,122,430,37
Dan Forster,m,europe,14_4,202,123,578,59
Bartlomiej Lipka,m,europe,14_4,203,116,401,33
Richard Vanmeerbeek,m,europe,14_4,206,105,480,49
Alexandre Jolivet,m,europe,14_4,207,96,279,20
Lee Howe,m,europe,14_4,208,91,377,30
Andy Edwards,m,europe,14_4,213,69,167,13
Joakim Ro-Poulsen,m,europe,14_4,213,70,491,52
Laurent CAMPS,m,europe,14_4,214,67,352,25
Elliot Simmonds,m,europe,14_4,215,64,430,37
David Carlsson,m,europe,14_4,216,60,357,27
Arnar Sigurðsson,m,europe,14_4,216,62,405,34
Anders Gronsund,m,europe,14_4,217,59,508,53
